ID	Int_TYPE1	Area_TYPE1	Int_TYPE2_N	Area_TYPE1
2	0.8974	39	16.3846	39
3	0.4444	45	5.1333	45
4	1.2406	212	17.3821	212
5	3.9167	60	22.1833	60
6	1.5462	877	19.4036	877
7	1.9923	909	14.7118	909
8	1.2852	305	18.6951	305
9	0.9897	682	12.2097	682
10	2.9300	600	30.5917	600
11	4.9637	468	11.7500	468
12	0.7175	315	18.2952	315
13	2.1297	347	15.3833	347
14	5.9844	706	11.0822	706
15	1.9934	152	60.5855	152
16	18.0224	535	1.5271	535
17	1.1220	254	12.9882	254
18	4.6827	353	7.2578	353
19	1.8208	307	16.3485	307
20	0.7427	171	5.5965	171
21	2.0312	96	28.8542	96
22	1.9938	482	33.8714	482
23	1.6834	1573	16.1291	1573
24	1.3567	757	11.2378	757
25	3.1373	233	18.6781	233
26	0.6820	1393	10.4688	1393
27	4.1133	609	30.3695	609
28	5.7892	982	23.9318	982
29	1.3584	639	18.5321	639
30	1.5714	651	36.9616	651
31	11.7690	723	11.5643	723
32	2.7454	326	24.1135	326
33	1.2778	18	3.3889	18
34	3.1392	158	17.8924	158
35	3.0595	84	22.1310	84
36	1.1250	32	3.4062	32
37	2.5683	271	1.8856	271
38	3.2571	35	4.2571	35
39	3.0063	790	2.1608	790
40	3.1618	136	2.9191	136
41	6.4828	58	7.0517	58
42	2.2604	96	1.7396	96
43	9.3676	574	19.2456	574
44	11.7508	927	2.0194	927
45	2.0653	291	1.3505	291
46	2.4374	727	2.0550	727
47	1.8722	133	13.1203	133
48	3.3686	944	7.6822	944
49	0.9475	781	17.7093	781
50	2.0314	605	1.2926	605
51	1.5693	989	1.2427	989
52	0.9560	1068	7.7228	1068
53	0.7764	1078	1.9193	1078
54	0.8343	664	1.3328	664
55	1.4601	1052	14.5238	1052
56	2.3822	1664	6.3185	1664
57	1.4039	463	17.5400	463
58	1.0000	39	7.4615	39
59	1.3839	607	14.2982	607
60	8.2876	386	24.9870	386
61	8.2088	565	9.5912	565
62	1.1343	566	17.3286	566
63	5.0588	2789	8.7228	2789
64	2.7354	635	20.4724	635
65	3.0593	1383	83.2740	1383
66	0.4292	424	31.7594	424
67	11.0486	1996	2.3221	1996
68	2.4324	703	26.7098	703
69	4.0950	1010	17.5218	1010
70	3.8216	1878	32.1502	1878
71	12.7333	1290	1.6876	1290
72	13.8131	1113	1.8940	1113
73	1.8997	678	6.5280	678
74	4.8650	1059	16.4958	1059
75	2.6282	1030	38.5718	1030
76	0.5349	215	24.3023	215
77	1.2703	999	16.5536	999
78	3.5698	774	3.9044	774
79	1.6090	133	18.9925	133
80	3.3050	400	19.2500	400
81	3.1072	942	17.1858	942
82	2.5556	693	32.6378	693
83	11.5663	1395	3.7032	1395
84	1.7544	57	18.4561	57
85	1.5857	2235	13.1830	2235
86	1.9341	182	3.7802	182
87	1.3708	1556	28.4505	1556
88	13.9313	364	2.5879	364
89	2.3040	454	21.8084	454
90	3.1087	46	3.0435	46
91	2.1954	701	7.5649	701
92	2.5043	813	2.8758	813
93	2.2466	223	2.2466	223
94	10.7530	506	2.4289	506
95	1.3333	21	2.8095	21
96	3.0790	1735	2.2259	1735
97	2.4457	2071	5.5567	2071
98	1.8027	953	1.5876	953
99	2.6686	2990	10.2064	2990
100	16.6646	963	3.0021	963
101	8.0364	1759	3.3030	1759
102	2.1299	77	1.6623	77
103	4.5087	1327	1.4190	1327
104	2.7839	1379	2.1146	1379
105	1.9790	524	1.8740	524
106	8.1979	1774	1.8021	1774
107	2.0752	2260	9.3350	2260
108	2.9194	1588	2.0031	1588
109	2.3372	258	1.6318	258
110	3.6768	950	14.1947	950
111	2.5971	350	1.6686	350
112	2.4521	1628	1.4453	1628
113	3.1602	568	6.0141	568
114	13.0923	1657	2.7085	1657
115	2.8288	1320	7.2894	1320
116	2.6933	714	2.0252	714
117	1.4063	1991	7.7197	1991
118	2.0693	1097	1.2507	1097
119	1.6504	1024	30.5479	1024
120	2.2993	284	2.2746	284
121	1.9462	93	1.5484	93
122	1.7606	898	1.3641	898
123	2.1136	546	1.6447	546
124	1.6000	585	1.6872	585
125	1.5098	1128	1.6782	1128
126	0.3591	401	1.0798	401
127	2.2441	549	22.3880	549
