ID	Int_TYPE1_N	Int_TYPE2_N
1	1.6981	18.1335
2	1.6531	20.6842
3	1.3214	41.1607
4	1.3750	22.0000
5	0.9426	25.8134
6	1.2916	28.1049
7	0.0000	34.0000
8	0.7535	12.5697
9	1.0000	39.0000
10	1.0000	16.5000
11	0.0000	31.0000
12	1.8438	4.4375
13	1.0000	6.0000
14	1.0000	19.0000
15	1.0000	14.0000
16	0.6667	21.0000
17	0.0000	19.0000
18	1.3639	4.9351
19	1.3247	11.5815
20	1.1426	14.3480
21	0.5804	10.1226
22	1.8000	14.4000
23	1.5000	38.2500
24	4.5000	75.5000
25	1.5625	14.4375
26	1.7184	31.6724
27	1.5000	15.7500
28	1.2198	11.5718
29	0.0000	19.0000
30	2.7844	15.3500
31	5.7561	7.4146
32	8.8871	8.8387
33	8.0000	10.0000
34	9.5000	34.5000
35	3.2279	7.8419
36	4.8333	7.1667
37	7.0000	17.5600
38	5.8561	10.6894
39	4.6998	9.3974
40	0.0000	87.0000
41	1.5677	16.4677
42	1.6667	40.6667
43	3.0000	33.0000
44	4.0000	25.0000
45	5.0000	14.0000
46	3.1128	8.3008
47	1.9618	5.6971
48	0.6191	34.5740
49	10.3807	2.2205
50	0.9285	10.3051
51	9.6000	1.8000
52	1.8969	37.7437
53	2.3673	29.3421
54	3.6306	3.6937
55	1.6236	13.9332
56	2.5000	10.3333
57	10.7689	1.5767
58	1.2500	18.2500
59	8.3573	1.6138
60	3.0466	22.0892
61	2.4177	7.6793
62	1.8667	18.3778
63	0.3846	18.5245
64	2.4261	25.4647
65	1.5714	7.8571
66	1.7143	5.8571
67	2.1173	12.5805
68	1.2913	52.1826
69	1.3355	11.7419
70	1.1403	13.4439
71	1.9577	11.4789
72	1.6333	10.9333
73	0.7500	7.2500
74	1.8505	17.5903
75	6.0533	2.2867
76	1.0714	14.0357
77	0.9460	12.5165
78	2.3210	15.0996
79	1.0000	20.0000
80	9.4821	11.2011
81	11.7347	4.5431
82	0.8684	8.8911
83	5.8750	4.6250
84	4.5726	4.3553
85	1.2000	32.6000
86	2.2727	66.6970
87	2.7093	15.2422
88	1.6000	13.0000
89	3.5986	8.8627
90	1.3702	16.1674
91	2.0000	45.0000
92	1.1506	12.0757
93	1.8812	14.2838
94	5.0000	11.0000
95	1.3397	38.4492
96	1.9072	4.5464
97	0.8686	10.5942
98	1.2975	22.9857
99	0.6856	20.5000
100	4.7963	7.4167
101	2.4000	20.6308
102	1.1246	4.9971
103	2.7410	24.9573
104	2.2401	7.6671
105	7.9844	1.9141
106	1.1788	1.9098
107	1.2694	1.9181
108	1.4137	1.8429
109	1.0614	1.9523
110	1.8487	1.7059
