ID;LB;LT;X;Y;Slice;area;circ;solidity;cell type;percentage_LT;percentage_LB;interaction
1;54;16;183;26;3;13;0.4625;0.8011;neg;0;31;0
2;144;24;189;31;6;34;0.8786;0.9639;LB probable;0;61;1
3;100;32;184;36;1;27;0.6995;0.8915;uncertain;0;43;1
4;149;24;137;36;1;23;0.8274;0.9328;LB probable;0;36;0
5;46;32;195;37;7;41;0.8801;0.9599;neg;0;0;1
6;77;16;54;37;1;16;0.8783;0.9519;neg;0;86;0
7;121;24;235;43;1;18;0.5566;0.805;LB probable;0;52;0
8;49;32;215;39;12;20;0.5173;0.8343;neg;0;0;0
9;82;64;277;52;4;25;0.8255;0.9446;neg;0;44;1
10;64;88;251;55;1;43;0.473;0.7792;neg;0;43;1
11;64;80;234;58;1;14;0.7353;0.8818;neg;0;0;0
12;88;128;188;63;6;46;0.8809;0.9533;LT probable;0;32;1
13;232;48;198;67;1;21;0.8345;0.9504;LB probable;0;62;1
14;39;104;253;78;2;41;0.7592;0.9379;uncertain;0;0;0
15;149;16;172;82;3;25;0.8516;0.944;LB probable;0;62;0
16;10;104;271;86;6;39;0.8803;0.9661;uncertain;0;0;0
17;8;151;292;93;3;35;0.7654;0.9382;LT probable;0;0;1
18;41;24;88;94;3;22;0.8785;0.9441;neg;0;0;0
19;149;24;129;110;3;21;0.7555;0.9128;LB probable;0;55;0
20;149;88;190;114;1;20;0.859;0.9392;LB probable;0;58;1
21;255;64;200;117;1;21;0.641;0.8565;LB probable;0;90;0
22;36;32;352;117;1;12;0.7498;0.9024;neg;0;0;1
23;5;135;329;119;3;23;0.862;0.9448;LT probable;0;0;0
24;5;191;277;122;3;21;0.829;0.9402;LT probable;81;0;1
25;209;88;157;133;2;40;0.7868;0.9313;LB probable;0;75;0
26;98;80;216;137;1;14;0.7686;0.8808;neg;0;0;1
27;5;175;353;137;5;22;0.8498;0.9371;LT probable;85;0;0
28;129;24;189;143;3;8;0.7867;0.9236;LB probable;0;46;1
