ID	LB	LT	X	Y	Slice	area	circ	solidity	cell type	percentage_LT	percentage_LB	phago interaction	Cluster
1	90	32	66	10	1	30	0.8674	0.9563	neg	0	48	0	0
2	36	24	144	12	1	40	0.4231	0.8283	neg	0	0	1	1
3	67	16	151	9	1	10	0.4176	0.8047	neg	0	43	1	1
4	90	16	128	9	3	11	0.8292	0.9353	neg	0	35	0	1
5	72	16	169	10	9	41	0.3881	0.7268	neg	0	65	1	1
6	75	16	175	17	3	14	0.4547	0.797	neg	0	42	1	1
7	144	24	181	23	6	34	0.8786	0.9639	LB probable	0	61	1	1
8	100	32	175	28	1	27	0.6995	0.8915	uncertain	0	43	1	1
9	149	24	129	28	1	23	0.8274	0.9328	LB probable	0	36	0	1
10	46	32	187	29	7	41	0.8801	0.9599	neg	0	0	1	1
11	77	16	46	29	1	16	0.8783	0.9519	neg	0	86	0	0
12	121	24	227	35	1	18	0.5566	0.805	LB probable	0	52	0	1
13	49	32	207	31	12	20	0.5173	0.8343	neg	0	0	0	1
14	82	64	269	44	4	25	0.8255	0.9446	neg	0	44	1	1
15	64	88	242	48	1	43	0.473	0.7792	neg	0	43	1	1
16	64	80	226	50	1	14	0.7353	0.8818	neg	0	0	0	1
17	88	128	179	55	6	46	0.8809	0.9533	LT probable	0	32	1	1
18	232	48	189	59	1	21	0.8345	0.9504	LB probable	0	62	1	1
19	41	96	13	67	1	11	0.8439	0.9179	neg	0	0	0	0
20	39	104	244	70	2	41	0.7592	0.9379	LT probable	0	0	0	1
21	149	16	164	74	3	25	0.8516	0.944	LB probable	0	62	0	1
22	10	104	263	78	6	39	0.8803	0.9661	LT probable	0	0	0	1
23	8	151	283	85	3	35	0.7654	0.9382	LT probable	0	0	1	0
24	41	24	80	86	3	22	0.8785	0.9441	neg	0	0	0	0
25	149	24	120	102	3	21	0.7555	0.9128	LB probable	0	55	0	1
26	149	88	181	106	1	20	0.859	0.9392	LB probable	0	58	1	1
27	255	64	192	109	1	21	0.641	0.8565	LB probable	0	90	0	1
28	36	32	344	109	1	12	0.7498	0.9024	neg	0	0	1	0
29	5	135	320	111	3	23	0.862	0.9448	LT probable	0	0	0	0
30	5	191	268	114	3	21	0.829	0.9402	LT probable	81	0	1	0
31	209	88	149	125	2	40	0.7868	0.9313	LB probable	0	75	0	1
32	98	80	207	129	1	14	0.7686	0.8808	neg	0	0	1	1
33	5	175	345	129	5	21	0.8565	0.9391	LT probable	91	0	0	0
34	129	24	181	135	3	8	0.7867	0.9236	LB probable	0	46	1	1
35	41	40	74	140	4	17	0.7049	0.8878	neg	0	0	0	1
36	21	32	77	141	8	20	0.7708	0.9406	neg	0	0	0	1
37	90	56	124	145	5	49	0.7117	0.9065	neg	0	49	0	1
38	113	40	177	144	4	24	0.8369	0.9511	LB probable	0	81	0	1
39	113	32	173	150	1	58	0.7401	0.9028	LB probable	0	62	1	1
40	18	96	61	152	5	22	0.8316	0.9503	neg	0	0	0	1
41	157	16	112	154	1	9	0.8757	0.9439	LB probable	0	73	0	1
