ID	Int_TYPE1_N	Int_TYPE2_N
1	0.5435	16.2826
2	0.9615	13.4615
3	1.8571	1.5714
4	1.2199	10.8848
5	3.0000	1.5000
6	1.8571	2.0000
7	2.0000	1.0000
8	1.4167	1.1667
9	2.5000	1.0000
10	1.5208	1.2292
11	1.1714	20.2857
12	3.2500	0.7500
13	1.0000	1.0000
14	2.0000	1.0000
15	0.9276	21.1447
16	1.5315	1.2432
17	1.4915	24.8814
18	1.5000	13.0000
19	0.6667	35.1667
20	1.0435	18.9565
21	0.8308	7.0923
22	0.8732	22.3521
23	1.5825	13.3689
24	1.6235	14.8706
25	0.7797	12.2712
26	1.7755	18.9796
27	0.8333	22.0152
28	0.9587	7.7355
29	1.4865	14.9279
30	1.0266	11.2926
31	1.4528	0.9811
32	0.8571	1.0000
33	2.0588	1.0588
34	0.7826	6.2609
35	9.6500	1.5000
36	0.2609	0.5761
37	0.6687	0.8750
38	1.2000	1.2286
39	1.2069	1.1379
40	1.5714	1.2500
41	1.0000	2.0000
42	1.6667	1.1333
43	2.2000	0.8000
44	1.0000	1.0000
45	1.4444	1.2222
46	2.5000	0.5000
47	1.0000	1.0000
48	2.0000	3.0000
49	0.8317	6.6931
50	0.3636	1.7727
51	0.2045	1.2500
52	0.2174	2.3043
53	1.0000	11.0714
54	5.5179	5.2256
55	0.8041	1.7423
56	1.0000	1.5000
57	0.8814	7.8051
58	1.1500	1.1750
59	1.2174	1.5652
60	0.7632	8.4474
61	1.5000	1.0000
62	1.1429	24.0000
63	2.0000	1.6000
64	2.0000	1.0000
65	1.0783	12.1217
66	0.5909	20.1818
67	2.0274	31.6986
68	3.0000	1.3333
69	0.7143	21.1429
70	2.0417	2.3750
71	0.2500	1.2500
72	0.4000	1.2000
73	0.3654	0.5577
74	1.6538	1.8077
75	1.3750	2.1250
76	3.0000	4.0000
77	1.0000	1.0000
78	0.3409	0.5455
79	1.5676	9.9189
80	2.0000	1.0000
81	2.1176	1.3529
82	1.5600	2.2400
83	2.4000	2.8000
84	2.6667	1.1667
85	1.0000	1.0000
86	2.0385	1.8846
87	1.8235	1.5882
88	3.7143	2.4286
89	2.8750	2.1250
90	1.0526	8.4421
91	2.8182	2.0909
92	0.5714	1.4286
93	1.7447	1.7447
94	1.6000	1.4667
95	2.2143	2.4286
96	1.4516	1.6774
97	1.6471	11.7647
98	1.8500	2.0000
99	1.8571	2.4857
100	2.8182	9.7273
101	1.9000	11.3000
102	1.4615	1.9231
103	1.2500	2.2500
104	2.1517	7.6552
105	1.6667	1.0000
106	1.0089	1.2857
107	1.7547	1.9906
108	1.6667	2.1667
109	2.1111	1.5556
110	1.0000	2.0000
111	1.2105	1.8684
112	1.1053	1.8947
113	1.1538	2.3846
114	0.2000	0.2667
115	0.1875	0.3750
116	1.8750	2.0625
117	0.1000	0.5000
118	1.0462	9.1077
119	2.6000	2.5333
120	1.2500	1.7500
121	1.6667	1.6667
122	1.7500	1.5000
123	2.6694	5.6777
124	0.0000	0.4000
125	5.5000	2.0000
126	1.4444	6.6667
127	1.5714	1.2381
128	1.0000	7.0000
129	2.0270	1.7297
130	0.6977	1.2093
131	2.5455	9.5455
132	0.8571	1.2857
133	1.2000	10.0000
134	2.9333	2.1333
135	1.1649	1.2887
136	2.0000	1.7500
137	2.5000	8.5000
138	1.8846	5.8077
139	1.3571	2.3571
140	0.8092	5.5376
141	1.7172	2.6483
142	1.0625	1.8125
143	2.0833	1.5833
144	1.4375	1.2500
145	1.8462	1.8462
146	2.5714	7.7143
147	3.0000	4.0000
148	1.3611	2.0556
149	1.5625	1.2500
150	2.0000	3.0000
151	1.2000	1.3200
152	1.5238	2.0000
153	1.3684	0.8421
154	1.8000	2.6000
155	2.5000	2.5000
156	1.5000	1.5000
157	2.2857	1.8571
158	1.8833	2.1500
159	1.0000	1.0000
160	0.9189	2.2973
161	1.7097	1.6129
162	2.0000	1.4286
163	1.4138	0.9655
164	1.7156	2.1743
165	1.8636	1.5000
166	1.9474	2.4737
167	2.6667	2.0000
168	1.3750	1.1250
169	1.5833	1.2083
170	2.3333	1.6667
171	1.3750	0.9375
172	5.0000	70.0000
173	6.0000	61.0000
174	2.0000	1.0000
175	3.0714	1.5000
176	0.1828	0.3441
177	0.2830	0.5472
178	2.0000	1.6000
179	1.6000	2.0000
180	1.2973	0.8919
181	0.2857	0.5000
182	1.6757	1.1622
183	2.5769	2.1538
184	1.6500	1.6000
185	4.1268	33.9859
186	0.3005	0.5337
187	0.1963	0.5399
188	1.0000	1.5000
189	1.0000	0.0000
190	1.2857	1.1429
191	1.5000	1.5000
192	1.2500	1.3750
193	1.8571	1.5714
194	2.4000	2.6000
195	2.5000	1.5000
196	2.0000	1.0000
197	5.0000	2.0000
198	3.7500	39.0000
199	2.5833	1.0833
200	1.3846	1.3846
201	0.9474	1.2895
202	1.0000	2.3333
203	3.0000	2.0000
204	2.5714	31.1429
205	2.6667	1.3333
206	1.0769	1.3846
207	0.8333	10.8333
208	2.0000	22.0000
209	1.0000	51.0000
210	1.1290	2.0323
211	0.7667	5.1333
212	2.1224	5.5306
213	1.5000	1.5000
214	2.0000	2.0000
215	1.1279	33.6628
216	3.5000	2.0000
217	1.5000	1.0000
218	2.0000	1.5000
219	2.0000	1.3333
