ID	Int_TYPE1_N	Int_TYPE2_N	Cell area	Roundness	Solidity
1	29.0958	60.4799	65.1045	0.6997	0.9158
2	35.2914	67.5318	18.3106	0.8607	0.9301
3	28.5874	49.5543	79.5854	0.7525	0.898
4	48.1122	96.0883	101.0077	0.927	0.9462
5	46.2419	98.3351	70.1309	0.8033	0.9302
6	38.6998	85.8303	109.6245	0.8698	0.8954
7	49.8831	135.6739	90.5958	0.9502	0.9215
8	49.588	137.4415	105.7948	0.8203	0.9228
9	79.3045	18.8872	42.7248	0.7004	0.8613
10	49.4347	180.7433	36.1426	0.8146	0.8922
11	62.6633	18.4184	35.0655	0.7369	0.9043
12	24.3596	64.0688	15.0793	0.6537	0.9265
13	90.9916	33.1742	25.4913	0.7085	0.9045
14	73.0686	24.9708	18.909	0.6129	0.8802
15	43.5683	122.4619	53.2564	0.5726	0.9138
16	43.8585	120.0846	68.4554	0.652	0.9362
17	68.5433	30.9067	129.0122	0.7711	0.8482
18	48.8123	116.4346	42.6051	0.6491	0.8979
19	76.989	38.4884	36.7409	0.489	0.854
20	81.0773	27.7679	12.8055	0.945	0.856
21	103.1853	46.3579	31.7145	0.713	0.8893
22	58.8007	134.0164	48.589	0.7178	0.9227
23	79.495	44.3314	71.6867	0.5339	0.8024
24	55.342	155.6777	58.5222	0.6198	0.8756
25	54.3493	164.9853	134.278	0.9038	0.9311
26	52.0349	125.7715	60.3174	0.8241	0.9265
27	98.0408	32.8462	35.3048	0.8755	0.878
28	53.0302	163.7106	75.1574	0.8631	0.9422
29	109.0532	35.0281	53.6155	0.9507	0.9032
30	53.8432	152.5778	42.6051	0.7528	0.9332
31	52.3376	118.0975	19.5074	0.8256	0.8647
32	52.5435	110.8228	71.208	0.7986	0.9261
33	49.3168	166.9967	25.3716	0.8336	0.9298
34	33.5702	196.8461	20.8239	0.6001	0.9158
35	54.046	196.2481	97.0583	0.6665	0.9077
36	43.5402	169.267	50.8629	0.9445	0.9465
37	52.7422	137.957	112.6164	0.7305	0.928
38	43.4673	149.0128	80.0642	0.9372	0.9183
39	67.1733	24.1319	23.6961	0.6633	0.839
40	80.4924	28.7236	57.8042	0.6477	0.8887
41	49.5559	121.1349	102.4438	0.6766	0.8323
42	55.3013	149.9837	62.9503	0.7518	0.9252
43	51.4045	23.4252	28.0045	0.4847	0.8948
44	60.2807	28.5259	29.5603	0.8743	0.8651
45	46.1668	255	10.2923	0.7846	0.9149
46	40.5024	142.3535	20.5845	0.3321	0.8289
